parameter,value,esd
cell_a,4.18321975,0.00069408
cell_b,4.18321975,0.00069408
cell_c,4.18321975,0.00069408
cell_alpha,90.00000000,0.00000000
cell_beta,90.00000000,0.00000000
cell_gamma,90.00000000,0.00000000
cell_volume,73.20353237,0.03643791
