parameter,value,esd
cell_a,5.13005524,0.00235379
cell_b,8.78813861,0.00050363
cell_c,5.10244589,0.00226633
cell_alpha,90.00000000,0.00000000
cell_beta,110.79144533,0.00609931
cell_gamma,90.00000000,0.00000000
cell_volume,215.05651611,0.01577935
