h,k,l,multiplicity,d_spacing,2theta,sigma_squared,gamma,F_obs_squared,F_calc_squared,phase,I_corr,Prfo,Trans,ExtP
2.00000000,4.00000000,0.00000000,4.00000000,1.61993086,5.89157949,1.90721556,2.26526280,12219.00715061,10772.42860363,-0.00000000,0.02738850,1.00000000,1.00000000,1.00000000
0.00000000,4.00000000,2.00000000,4.00000000,1.61593476,5.90616188,1.91091330,2.27015903,11989.58298565,10837.97510774,0.00000000,0.02725370,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,-3.00000000,2.00000000,1.61534778,5.90830996,1.91145876,2.27088028,17902.93800623,16346.40196827,0.00000000,0.01361697,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,2.00000000,4.00000000,1.58538226,6.02008558,1.94011199,2.30841280,14926.79623476,15842.93745284,180.00000000,0.02623412,1.00000000,1.00000000,1.00000000
0.00000000,0.00000000,3.00000000,2.00000000,1.59005597,6.00237430,1.93553645,2.30246535,9141.04902116,9568.95775878,0.00000000,0.01319442,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,-2.00000000,4.00000000,1.59348293,5.98945375,1.93220693,2.29812670,10400.53493627,10829.83845014,180.00000000,0.02650256,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,0.00000000,4.00000000,1.57284752,6.06810712,1.95258485,2.32453895,8152.13556940,8038.56792247,180.00000000,0.02582145,1.00000000,1.00000000,1.00000000
2.00000000,4.00000000,-2.00000000,4.00000000,1.52016058,6.27862758,2.00841915,2.39524312,9985.28519719,7819.60208629,0.00000000,0.02412270,1.00000000,1.00000000,1.00000000
1.00000000,5.00000000,1.00000000,4.00000000,1.50387437,6.34669122,2.02687348,2.41810581,12317.55397282,10430.15180896,180.00000000,0.02360931,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,-3.00000000,4.00000000,1.51614406,6.29527745,2.01291531,2.40083569,12488.20071397,10224.58540216,-0.00000000,0.02399557,1.00000000,1.00000000,1.00000000
0.00000000,2.00000000,3.00000000,4.00000000,1.49517335,6.38366334,2.03698032,2.43052548,9144.25796042,8352.67197094,0.00000000,0.02333729,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,-1.00000000,4.00000000,1.47656372,6.46420374,2.05919817,2.45758226,30585.20572658,28636.30030385,180.00000000,0.02276080,1.00000000,1.00000000,1.00000000
0.00000000,6.00000000,0.00000000,2.00000000,1.46468977,6.51666409,2.07381809,2.47520705,28333.81899312,28189.48059738,0.00000000,0.01119837,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,-3.00000000,4.00000000,1.47052600,6.49077298,2.06658800,2.46650844,30095.51726482,27959.61535852,180.00000000,0.02257531,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,2.00000000,2.00000000,1.45275954,6.57023817,2.08886910,2.49320701,28919.68340560,27879.88422770,0.00000000,0.01101696,1.00000000,1.00000000,1.00000000
1.00000000,5.00000000,-2.00000000,4.00000000,1.44201854,6.61923148,2.10274000,2.50966882,8179.21434997,7924.88391388,180.00000000,0.02170979,1.00000000,1.00000000,1.00000000
2.00000000,4.00000000,1.00000000,4.00000000,1.43284266,6.66166846,2.11483716,2.52392840,9938.44452410,9328.84378591,0.00000000,0.02143481,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,-2.00000000,4.00000000,1.41788846,6.73200834,2.13505705,2.54756529,11706.58344931,12979.28097651,180.00000000,0.02099042,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,0.00000000,4.00000000,1.40329190,6.80211433,2.15541910,2.57112539,10992.55453394,12439.81768675,180.00000000,0.02056115,1.00000000,1.00000000,1.00000000
0.00000000,6.00000000,1.00000000,4.00000000,1.40017148,6.81729138,2.15985476,2.57622609,11467.28496460,12619.26805193,0.00000000,0.02046996,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,2.00000000,4.00000000,1.37932808,6.92043379,2.19025892,2.61089245,10561.16380342,8862.31574687,0.00000000,0.01986604,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,-3.00000000,4.00000000,1.38612696,6.88644844,2.18019075,2.59946947,9956.93372226,9077.24785777,180.00000000,0.02006204,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,1.00000000,4.00000000,1.35922872,7.02289591,2.22091094,2.64533413,10428.89404275,8318.95620963,-180.00000000,0.01929226,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,3.00000000,4.00000000,1.35451460,7.04736849,2.22829817,2.65356095,11036.78704824,8432.18436572,180.00000000,0.01915890,1.00000000,1.00000000,1.00000000
2.00000000,4.00000000,-3.00000000,4.00000000,1.30144018,7.33515480,2.31708301,2.75032200,10878.90275749,8564.52261353,0.00000000,0.01768947,1.00000000,1.00000000,1.00000000
1.00000000,5.00000000,2.00000000,4.00000000,1.28561548,7.42556938,2.34570569,2.78072843,8673.29943122,8109.32844972,180.00000000,0.01726270,1.00000000,1.00000000,1.00000000
0.00000000,4.00000000,3.00000000,4.00000000,1.28810396,7.41120388,2.34113468,2.77589709,8169.28888151,7691.54167309,0.00000000,0.01732947,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,-1.00000000,2.00000000,1.27470859,7.48919557,2.36605700,2.80212790,9520.84631317,10488.21689341,0.00000000,0.00848580,1.00000000,1.00000000,1.00000000
2.00000000,6.00000000,-1.00000000,4.00000000,1.26804164,7.52862792,2.37875643,2.81539105,9688.57891741,10104.15784218,0.00000000,0.01679489,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,-2.00000000,2.00000000,1.26679339,7.53605705,2.38115646,2.81788992,6630.98504857,6905.75287503,0.00000000,0.00838095,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,-3.00000000,4.00000000,1.26587068,7.54155815,2.38293514,2.81974029,6763.81471845,7063.10825918,180.00000000,0.01673755,1.00000000,1.00000000,1.00000000
2.00000000,6.00000000,0.00000000,4.00000000,1.24996670,7.63765475,2.41421468,2.85206576,7224.84510646,6866.56074700,0.00000000,0.01632046,1.00000000,1.00000000,1.00000000
