parameter,value,esd
cell_a,5.15857730,0.00654569
cell_b,8.78085194,0.00134732
cell_c,5.12675092,0.00648629
cell_alpha,90.00000000,0.00000000
cell_beta,111.30869427,0.01662256
cell_gamma,90.00000000,0.00000000
cell_volume,216.34911443,0.04243601
