h,k,l,multiplicity,d_spacing,2theta,sigma_squared,gamma,F_obs_squared,F_calc_squared,phase,I_corr,Prfo,Trans,ExtP
0.00000000,0.00000000,3.00000000,2.00000000,1.59208874,5.99470351,1.65008108,2.14694203,16389.40925936,10632.90096114,0.00000000,0.01018669,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,-2.00000000,4.00000000,1.60540150,5.94494771,1.64221356,2.13367034,9647.62047776,10176.59667458,180.00000000,0.02071509,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,0.00000000,4.00000000,1.57595976,6.05611251,1.65987929,2.16332303,7060.20626237,6055.31308069,180.00000000,0.01996319,1.00000000,1.00000000,1.00000000
2.00000000,4.00000000,-2.00000000,4.00000000,1.52606949,6.25429267,1.69216414,2.21619553,6056.69261436,5638.75471315,0.00000000,0.01872085,1.00000000,1.00000000,1.00000000
1.00000000,5.00000000,1.00000000,4.00000000,1.50238671,6.35298216,1.70861957,2.24252923,13527.39097142,10047.81663534,180.00000000,0.01814510,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,-3.00000000,4.00000000,1.52568525,6.25586936,1.69242506,2.21661622,10584.81609873,9436.29872536,0.00000000,0.01871144,1.00000000,1.00000000,1.00000000
0.00000000,2.00000000,3.00000000,4.00000000,1.49671894,6.37706443,1.71267322,2.24895564,6888.67606955,5739.56815566,-0.00000000,0.01800865,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,-1.00000000,4.00000000,1.48210986,6.43998874,1.72333569,2.26574796,27184.70725103,16292.28590647,180.00000000,0.01765931,1.00000000,1.00000000,1.00000000
0.00000000,6.00000000,0.00000000,2.00000000,1.46347532,6.52207770,1.73739942,2.28765648,40459.77010687,24682.27106070,0.00000000,0.00860934,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,-3.00000000,4.00000000,1.47513724,6.47046137,1.72853603,2.27388048,39410.84722526,16647.81906815,180.00000000,0.01749378,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,2.00000000,2.00000000,1.45068753,6.57963274,1.74736381,2.30301843,29746.37068833,28385.76794553,0.00000000,0.00845977,1.00000000,1.00000000,1.00000000
1.00000000,5.00000000,-2.00000000,4.00000000,1.44404911,6.60991339,1.75264063,2.31110102,8396.84195810,8515.81349731,180.00000000,0.01676527,1.00000000,1.00000000,1.00000000
2.00000000,4.00000000,1.00000000,4.00000000,1.43170537,6.66696622,1.76264729,2.32633048,7742.31512992,7679.60409694,0.00000000,0.01648032,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,-2.00000000,4.00000000,1.42601610,6.69359515,1.76734663,2.33343905,10025.50338111,10766.29891678,180.00000000,0.01634980,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,0.00000000,4.00000000,1.40526219,6.79256602,1.78497334,2.35986121,11997.99244551,12720.54941429,-180.00000000,0.01587811,1.00000000,1.00000000,1.00000000
0.00000000,6.00000000,1.00000000,4.00000000,1.39926405,6.82171767,1.79021357,2.36764439,10551.75001952,11424.27984849,0.00000000,0.01574307,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,2.00000000,4.00000000,1.37744189,6.92992180,1.80985646,2.39653613,14271.45103231,10381.30397048,0.00000000,0.01525665,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,-3.00000000,4.00000000,1.39728301,6.83140083,1.79195906,2.37022975,10610.59148552,11433.36750460,180.00000000,0.01569860,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,1.00000000,4.00000000,1.35899774,7.02409103,1.82719826,2.42168347,10749.26222851,8799.09447761,-180.00000000,0.01485150,1.00000000,1.00000000,1.00000000
