parameter,value,esd
cell_a,4.18240161,0.00014522
cell_b,4.18240161,0.00014522
cell_c,4.18240161,0.00014522
cell_alpha,90.00000000,0.00000000
cell_beta,90.00000000,0.00000000
cell_gamma,90.00000000,0.00000000
cell_volume,73.16058992,0.00762091
