parameter,value,esd
cell_a,4.157537252079648,2.5011803098911908e-05
cell_b,4.157537252079648,0.0
cell_c,4.157537252079648,0.0
cell_alpha,90.0,0.0
cell_beta,90.0,0.0
cell_gamma,90.0,0.0
