h,k,l,d_spacing,2theta,F_calc_squared
1.0,0.0,0.0,4.157537252079648,2.294720246121919,2141.2960647789932
1.0,1.0,0.0,2.939822783981204,3.2454414619752843,2419.1225165172186
1.0,1.0,1.0,2.4003552516540823,3.9751036124485704,1664.9900505692765
2.0,0.0,0.0,2.078768626039824,4.590361342306072,1866.0667191819866
2.0,1.0,0.0,1.8593071829275545,5.132523429946331,1362.2379492675468
2.0,1.0,1.0,1.6973074757013433,5.6227740622222075,1526.219836426721
2.0,2.0,0.0,1.469911391990602,6.493489835903319,1292.6251377907813
2.0,2.0,1.0,1.3858457506932165,6.887847469720632,987.4991205577068
3.0,0.0,0.0,1.3858457506932162,6.887847469720633,987.4991205577068
3.0,1.0,0.0,1.3147287173569304,7.260915287399503,1119.6198626622377
3.0,1.0,1.0,1.2535446470066753,7.615822693229702,862.8245281156961
2.0,2.0,2.0,1.2001776258270411,7.955000762451971,984.1929577738846
3.0,2.0,0.0,1.1530933647711405,8.280382674257678,762.0466064940828
3.0,2.0,1.0,1.1111485692879752,8.593535739957295,873.8782174175689
4.0,0.0,0.0,1.039384313019912,9.188109505298902,781.4712476720285
3.0,2.0,2.0,1.0083508960449759,9.471522507019936,607.3635137000427
4.0,1.0,0.0,1.0083508960449759,9.471522507019937,607.3635137000425
3.0,3.0,0.0,0.9799409279937348,9.746770940612329,702.5655417470808
4.0,1.0,1.0,0.9799409279937348,9.746770940612329,702.5655417470808
3.0,3.0,1.0,0.9538044597800514,10.01452808194493,546.3891413541919
4.0,2.0,0.0,0.9296535914637772,10.275379619614874,634.2794122034038
4.0,2.0,1.0,0.9072490077263661,10.52983881925247,493.45842984263385
3.0,3.0,2.0,0.8863899204185173,10.778358470704719,574.6210632548054
4.0,2.0,2.0,0.8486537378506717,11.259143223970963,522.1480954282779
4.0,3.0,0.0,0.8315074504159297,11.492088454169517,406.4455679987898
5.0,0.0,0.0,0.8315074504159297,11.492088454169517,406.4455679987898
4.0,3.0,1.0,0.8153601375708867,11.720465782932191,475.74373588937124
5.0,1.0,0.0,0.8153601375708867,11.720465782932191,475.74373588937124
3.0,3.0,3.0,0.8001184172180275,11.944537264214786,370.4624808421514
5.0,1.0,1.0,0.8001184172180272,11.944537264214787,370.46248084215125
4.0,3.0,2.0,0.7720352860086213,12.38069352720524,338.5402396537528
5.0,2.0,0.0,0.7720352860086211,12.380693527205242,338.5402396537526
