h,k,l,multiplicity,d_spacing,2theta,sigma_squared,gamma,F_obs_squared,F_calc_squared,phase,I_corr,Prfo,Trans,ExtP
5.00000000,1.00000000,1.00000000,24.00000000,0.80005202,11.94553214,2.38897886,0.00100000,625.65984793,556.34769717,-0.00000000,0.58549244,1.00000000,1.00000000,1.00000000
4.00000000,3.00000000,2.00000000,48.00000000,0.77197122,12.38172501,2.46132055,0.00100000,403.35651887,352.04711081,-0.00000000,1.09063534,1.00000000,1.00000000,1.00000000
5.00000000,2.00000000,0.00000000,24.00000000,0.77197122,12.38172501,2.46132055,0.00100000,506.85345619,442.37860679,0.00000000,0.54531767,1.00000000,1.00000000,1.00000000
5.00000000,2.00000000,1.00000000,48.00000000,0.75899599,12.59424287,2.49676919,0.00100000,233.58482956,220.60490033,-0.00000000,1.05447826,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,0.00000000,12.00000000,0.73489471,13.00903297,2.56634249,0.00100000,485.81242716,457.21183404,0.00000000,0.24723598,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,1.00000000,24.00000000,0.72367428,13.21162696,2.60050966,0.00100000,345.15093303,289.79927238,0.00000000,0.47957789,1.00000000,1.00000000,1.00000000
5.00000000,2.00000000,2.00000000,24.00000000,0.72367428,13.21162696,2.60050966,0.00100000,610.20902912,512.35015095,0.00000000,0.47957789,1.00000000,1.00000000,1.00000000
4.00000000,3.00000000,3.00000000,24.00000000,0.71295259,13.41121445,2.63428950,0.00100000,525.19591068,436.04934937,0.00000000,0.46556000,1.00000000,1.00000000,1.00000000
5.00000000,3.00000000,0.00000000,24.00000000,0.71295259,13.41121445,2.63428950,0.00100000,427.32288307,354.78925358,-0.00000000,0.46556000,1.00000000,1.00000000,1.00000000
5.00000000,3.00000000,1.00000000,48.00000000,0.70269374,13.60792778,2.66769949,0.00100000,380.87688317,322.64450418,-0.00000000,0.90468638,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,2.00000000,24.00000000,0.69286538,13.80188987,2.70075585,0.00100000,310.44993465,273.58156821,-0.00000000,0.43986071,1.00000000,1.00000000,1.00000000
6.00000000,0.00000000,0.00000000,6.00000000,0.69286538,13.80188987,2.70075585,0.00100000,479.80215482,422.82188301,0.00000000,0.10996518,1.00000000,1.00000000,1.00000000
6.00000000,1.00000000,0.00000000,24.00000000,0.68343820,13.99321515,2.73347371,0.00100000,230.90117988,219.42865681,-0.00000000,0.42805301,1.00000000,1.00000000,1.00000000
5.00000000,3.00000000,2.00000000,48.00000000,0.67438563,14.18201038,2.76586716,0.00100000,241.90077637,206.08758839,-0.00000000,0.83373364,1.00000000,1.00000000,1.00000000
6.00000000,1.00000000,1.00000000,24.00000000,0.67438563,14.18201038,2.76586716,0.00100000,280.98269276,239.38346292,0.00000000,0.41686682,1.00000000,1.00000000,1.00000000
6.00000000,2.00000000,0.00000000,24.00000000,0.65730981,14.55240339,2.82973268,0.00100000,288.17302685,259.03964869,0.00000000,0.39617253,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,3.00000000,24.00000000,0.64924435,14.73418216,2.86122864,0.00100000,196.30278383,164.42987055,-0.00000000,0.38658257,1.00000000,1.00000000,1.00000000
5.00000000,4.00000000,0.00000000,24.00000000,0.64924435,14.73418216,2.86122864,0.00100000,254.23768353,212.95810775,-0.00000000,0.38658257,1.00000000,1.00000000,1.00000000
6.00000000,2.00000000,1.00000000,48.00000000,0.64924435,14.73418216,2.86122864,0.00100000,326.20029974,273.23643614,0.00000000,0.77316513,1.00000000,1.00000000,1.00000000
5.00000000,4.00000000,1.00000000,48.00000000,0.64146869,14.91379392,2.89244813,0.00100000,191.10138779,180.77524290,0.00000000,0.75489864,1.00000000,1.00000000,1.00000000
