parameter,value,esd
cell_a,4.15719225,0.00002132
cell_b,4.15719225,0.00002132
cell_c,4.15719225,0.00002132
cell_alpha,90.00000000,0.00000000
cell_beta,90.00000000,0.00000000
cell_gamma,90.00000000,0.00000000
cell_volume,71.84562501,0.00110520
