parameter,value,esd
cell_a,4.184264,0.00033224567
cell_b,4.184264,0.00033224567
cell_c,4.184264,0.00033224567
cell_alpha,90,0
cell_beta,90,0
cell_gamma,90,0
cell_volume,73.258367,0.017452682
