h,k,l,multiplicity,d_spacing,2theta,F_obs_squared,F_calc_squared,I_no_scale_pks,I_after_scale_pks,phase
0.00000000,8.00000000,6.00000000,4.00000000,0.64412469,14.85195100,1617.02833104,1693.58208415,0.00112995,0.06798644,Li4MgWO6_SG12
0.00000000,10.00000000,0.00000000,2.00000000,0.87882063,10.87147100,7631.53166997,7699.81855693,0.00256864,0.28791338,Li4MgWO6_SG12
0.00000000,10.00000000,1.00000000,4.00000000,0.86428031,11.05493300,6818.18027879,7083.23887752,0.00472589,0.51229054,Li4MgWO6_SG12
0.00000000,10.00000000,2.00000000,4.00000000,0.82464002,11.58811900,8211.61346817,8388.56635284,0.00559680,0.55223239,Li4MgWO6_SG12
0.00000000,10.00000000,3.00000000,4.00000000,0.76918895,12.42668800,5627.31477415,5608.01663870,0.00374164,0.32118773,Li4MgWO6_SG12
0.00000000,10.00000000,4.00000000,4.00000000,0.70751162,13.51483000,5343.63782432,5415.94348449,0.00361348,0.26249910,Li4MgWO6_SG12
0.00000000,10.00000000,5.00000000,4.00000000,0.64642644,14.79877000,4836.57635763,4869.03543377,0.00324859,0.19712472,Li4MgWO6_SG12
0.00000000,12.00000000,0.00000000,2.00000000,0.73235053,13.05442300,5617.99696434,5312.76040103,0.00177232,0.13823080,Li4MgWO6_SG12
0.00000000,12.00000000,1.00000000,4.00000000,0.72387200,13.20800200,4610.13675109,4806.90681106,0.00320714,0.24437745,Li4MgWO6_SG12
0.00000000,12.00000000,2.00000000,4.00000000,0.70010080,13.65856700,4914.51353851,5071.18896522,0.00338347,0.24116123,Li4MgWO6_SG12
0.00000000,12.00000000,3.00000000,4.00000000,0.66520606,14.37874300,3864.37603748,3923.02584789,0.00261742,0.16844949,Li4MgWO6_SG12
0.00000000,12.00000000,4.00000000,4.00000000,0.62409624,15.33139700,3885.83413595,4016.95252740,0.00268009,0.15187994,Li4MgWO6_SG12
0.00000000,14.00000000,0.00000000,2.00000000,0.62772902,15.24214300,5520.88642894,5702.09249986,0.00190220,0.10925790,Li4MgWO6_SG12
0.00000000,14.00000000,1.00000000,4.00000000,0.62236514,15.37429900,3403.49606294,3522.28385976,0.00235005,0.13268855,Li4MgWO6_SG12
1.00000000,1.00000000,-7.00000000,4.00000000,0.70858043,13.49434900,3773.85105082,3869.53791547,0.00258173,0.18644670,Li4MgWO6_SG12
1.00000000,1.00000000,-6.00000000,4.00000000,0.82999050,11.51316300,4493.16341168,4583.89444553,0.00305835,0.30223624,Li4MgWO6_SG12
1.00000000,1.00000000,-5.00000000,4.00000000,1.00028970,9.54802860,7911.91666826,7640.34167227,0.00509759,0.72977360,Li4MgWO6_SG12
1.00000000,1.00000000,-4.00000000,4.00000000,1.25482850,7.60801920,9946.16497595,9847.50940961,0.00657020,1.47604580,Li4MgWO6_SG12
1.00000000,1.00000000,-3.00000000,4.00000000,1.66988770,5.71517670,10191.92907602,9662.08946138,0.00644649,2.55617490,Li4MgWO6_SG12
1.00000000,1.00000000,-2.00000000,4.00000000,2.42531250,3.93418230,11151.90374835,11153.54180271,0.00744158,6.19680010,Li4MgWO6_SG12
1.00000000,1.00000000,-1.00000000,4.00000000,3.79964820,2.51089320,20019.91097509,18300.26715111,0.01220983,24.89296600,Li4MgWO6_SG12
1.00000000,1.00000000,0.00000000,4.00000000,4.21117630,2.26548790,18579.00284019,17964.81560175,0.01198602,30.56933000,Li4MgWO6_SG12
1.00000000,1.00000000,1.00000000,4.00000000,2.75891780,3.45831090,14266.48294191,12836.86734001,0.00856468,9.45481150,Li4MgWO6_SG12
1.00000000,1.00000000,2.00000000,4.00000000,1.84354990,5.17642230,11144.02620940,11212.38713887,0.00748084,3.68363190,Li4MgWO6_SG12
1.00000000,1.00000000,3.00000000,4.00000000,1.35463100,7.04676230,10554.86901973,10102.34050816,0.00674022,1.79025440,Li4MgWO6_SG12
1.00000000,1.00000000,4.00000000,4.00000000,1.06386820,8.97621590,7202.57252457,7056.85733004,0.00470829,0.77121844,Li4MgWO6_SG12
1.00000000,1.00000000,5.00000000,4.00000000,0.87370871,10.93527100,5512.28598421,5484.17901579,0.00365901,0.40446056,Li4MgWO6_SG12
1.00000000,1.00000000,6.00000000,4.00000000,0.74037501,12.91232800,5254.68246413,4932.77233476,0.00329112,0.26152407,Li4MgWO6_SG12
1.00000000,1.00000000,7.00000000,4.00000000,0.64196528,14.90219200,3946.77666942,4139.05823297,0.00276155,0.16524857,Li4MgWO6_SG12
1.00000000,3.00000000,-7.00000000,4.00000000,0.69084352,13.84248100,9005.05672759,8865.27983603,0.00591486,0.40641741,Li4MgWO6_SG12
1.00000000,3.00000000,-6.00000000,4.00000000,0.80187383,11.91829400,5604.96428554,5664.14692432,0.00377908,0.34899669,Li4MgWO6_SG12
1.00000000,3.00000000,-5.00000000,4.00000000,0.95216331,10.03183300,5910.76495292,6165.81881256,0.00411380,0.53448057,Li4MgWO6_SG12
1.00000000,3.00000000,-4.00000000,4.00000000,1.16352460,8.20602000,10763.55520191,11116.56242071,0.00741690,1.43607670,Li4MgWO6_SG12
1.00000000,3.00000000,-3.00000000,4.00000000,1.47091310,6.48906300,30256.27467457,27764.03392268,0.01852400,5.72293060,Li4MgWO6_SG12
1.00000000,3.00000000,-2.00000000,4.00000000,1.91183490,4.99141670,12534.09664114,14381.41799850,0.00959520,5.00610360,Li4MgWO6_SG12
1.00000000,3.00000000,-1.00000000,4.00000000,2.40529110,3.96694320,8853.15131697,8834.98313726,0.00589465,4.88441110,Li4MgWO6_SG12
1.00000000,3.00000000,0.00000000,4.00000000,2.50021810,3.81627140,14962.50167054,18343.49518419,0.01223867,11.04075800,Li4MgWO6_SG12
1.00000000,3.00000000,1.00000000,4.00000000,2.06301290,4.62543810,44099.70075070,40138.90037430,0.02678043,16.51185000,Li4MgWO6_SG12
1.00000000,3.00000000,2.00000000,4.00000000,1.58547420,6.01973640,13745.79573500,14195.40949736,0.00947109,3.44897440,Li4MgWO6_SG12
1.00000000,3.00000000,3.00000000,4.00000000,1.24174760,7.68828420,7581.89259910,7527.27729817,0.00502215,1.12128430,Li4MgWO6_SG12
1.00000000,3.00000000,4.00000000,4.00000000,1.00650310,9.48895040,7722.84977192,8026.81444359,0.00535544,0.78556750,Li4MgWO6_SG12
1.00000000,3.00000000,5.00000000,4.00000000,0.84108802,11.36075300,12326.99211136,12840.67223256,0.00856722,0.87807743,Li4MgWO6_SG12
1.00000000,3.00000000,6.00000000,4.00000000,0.72021063,13.27545000,5825.28261286,6025.01343132,0.00401985,0.30242801,Li4MgWO6_SG12
1.00000000,3.00000000,7.00000000,4.00000000,0.62868662,15.21878900,3003.63292663,3102.96580764,0.00207028,0.11887201,Li4MgWO6_SG12
1.00000000,5.00000000,-7.00000000,4.00000000,0.65903106,14.51419100,4591.04057511,4478.69783361,0.00298816,0.18716510,Li4MgWO6_SG12
1.00000000,5.00000000,-6.00000000,4.00000000,0.75327083,12.69035600,3853.69474695,3734.25781631,0.00249147,0.20345871,Li4MgWO6_SG12
1.00000000,5.00000000,-5.00000000,4.00000000,0.87364719,10.93604400,3284.98289609,3267.28114754,0.00217991,0.23906309,Li4MgWO6_SG12
1.00000000,5.00000000,-4.00000000,4.00000000,1.02823550,9.28795100,7234.37950915,6945.80945596,0.00463420,0.70320493,Li4MgWO6_SG12
1.00000000,5.00000000,-3.00000000,4.00000000,1.22227630,7.81094980,10071.22608969,10087.10887716,0.00673006,1.44266860,Li4MgWO6_SG12
1.00000000,5.00000000,-2.00000000,4.00000000,1.44224060,6.61821140,7863.86112153,7640.56264394,0.00509774,1.52316510,Li4MgWO6_SG12
1.00000000,5.00000000,-1.00000000,4.00000000,1.62218300,5.88339280,4345.47801149,4204.25581549,0.00280505,1.06334370,Li4MgWO6_SG12
1.00000000,5.00000000,0.00000000,4.00000000,1.65038400,5.78277410,10295.02444146,9719.30310875,0.00648466,2.55324920,Li4MgWO6_SG12
1.00000000,5.00000000,1.00000000,4.00000000,1.50392490,6.34647780,13565.43282796,13048.56600730,0.00870592,2.85213630,Li4MgWO6_SG12
1.00000000,5.00000000,2.00000000,4.00000000,1.28566790,7.42526630,7987.64206804,7848.59030375,0.00523653,1.25426770,Li4MgWO6_SG12
1.00000000,5.00000000,3.00000000,4.00000000,1.08103280,8.83340600,3696.11445618,3611.76792126,0.00240975,0.40806286,Li4MgWO6_SG12
1.00000000,5.00000000,4.00000000,4.00000000,0.91505212,10.43979500,5103.99758870,5152.93088343,0.00343800,0.41721774,Li4MgWO6_SG12
1.00000000,5.00000000,5.00000000,4.00000000,0.78549584,12.16772500,5928.79598729,6029.47855018,0.00402283,0.35996772,Li4MgWO6_SG12
1.00000000,5.00000000,6.00000000,4.00000000,0.68437778,13.97390800,4289.48401023,4184.66516846,0.00279198,0.18985984,Li4MgWO6_SG12
1.00000000,7.00000000,-6.00000000,4.00000000,0.69452447,13.76876000,4123.43631980,4093.26458485,0.00273100,0.19008223,Li4MgWO6_SG12
1.00000000,7.00000000,-5.00000000,4.00000000,0.78545114,12.16842100,7782.18411257,7910.40649230,0.00527778,0.46924869,Li4MgWO6_SG12
1.00000000,7.00000000,-4.00000000,4.00000000,0.89208105,10.70939500,8031.55908223,7731.78074400,0.00515860,0.59128614,Li4MgWO6_SG12
1.00000000,7.00000000,-3.00000000,4.00000000,1.01009480,9.45513260,7061.64537427,7300.09236897,0.00487058,0.71589899,Li4MgWO6_SG12
1.00000000,7.00000000,-2.00000000,4.00000000,1.12401730,8.49496760,8162.71935303,8046.93158741,0.00536886,0.97827386,Li4MgWO6_SG12
1.00000000,7.00000000,-1.00000000,4.00000000,1.20319230,7.93503720,14104.19988048,13721.79834241,0.00915510,1.91497910,Li4MgWO6_SG12
1.00000000,7.00000000,0.00000000,4.00000000,1.21456550,7.86061620,10229.90772636,10486.96835481,0.00699684,1.49415520,Li4MgWO6_SG12
1.00000000,7.00000000,1.00000000,4.00000000,1.15249190,8.28471190,8304.71424492,8612.53731332,0.00574623,1.10624610,Li4MgWO6_SG12
1.00000000,7.00000000,2.00000000,4.00000000,1.04499900,9.13863730,8005.61791459,8082.81840101,0.00539281,0.85403951,Li4MgWO6_SG12
1.00000000,7.00000000,3.00000000,4.00000000,0.92590564,10.31708600,9413.09706429,9761.42320401,0.00651276,0.80993624,Li4MgWO6_SG12
1.00000000,7.00000000,4.00000000,4.00000000,0.81512947,11.72379400,6054.11372012,6029.70777432,0.00402298,0.38790845,Li4MgWO6_SG12
1.00000000,7.00000000,5.00000000,4.00000000,0.71953889,13.28789900,4551.08640686,4668.00937250,0.00311447,0.23417476,Li4MgWO6_SG12
1.00000000,7.00000000,6.00000000,4.00000000,0.63942482,14.96173700,4175.80000433,4390.21201276,0.00292912,0.17412509,Li4MgWO6_SG12
1.00000000,9.00000000,-6.00000000,4.00000000,0.63404834,15.08934200,3382.90635989,3528.48426589,0.00235418,0.13695585,Li4MgWO6_SG12
1.00000000,9.00000000,-5.00000000,4.00000000,0.70095602,13.64182300,4662.55813673,4796.10640492,0.00319993,0.22729480,Li4MgWO6_SG12
1.00000000,9.00000000,-4.00000000,4.00000000,0.77361098,12.35537800,6132.59949289,6111.20601469,0.00407736,0.35262768,Li4MgWO6_SG12
1.00000000,9.00000000,-3.00000000,4.00000000,0.84683600,11.28338900,8599.04072044,8602.62408611,0.00573962,0.59493599,Li4MgWO6_SG12
1.00000000,9.00000000,-2.00000000,4.00000000,0.91065823,10.49030800,6271.40901068,6370.71086679,0.00425050,0.50990106,Li4MgWO6_SG12
1.00000000,9.00000000,-1.00000000,4.00000000,0.95126110,10.04137200,6997.97553813,7252.31791373,0.00483870,0.63411293,Li4MgWO6_SG12
1.00000000,9.00000000,0.00000000,4.00000000,0.95685182,9.98255300,7235.06165218,7575.43867270,0.00505429,0.67095526,Li4MgWO6_SG12
1.00000000,9.00000000,1.00000000,4.00000000,0.92560445,10.32045200,9642.27190894,9972.53448481,0.00665361,0.82725170,Li4MgWO6_SG12
1.00000000,9.00000000,2.00000000,4.00000000,0.86708890,11.01901400,6160.71996119,6488.46392320,0.00432906,0.47261014,Li4MgWO6_SG12
1.00000000,9.00000000,3.00000000,4.00000000,0.79535996,12.01626100,5171.41021201,5663.66060123,0.00377876,0.34726482,Li4MgWO6_SG12
1.00000000,9.00000000,4.00000000,4.00000000,0.72180651,13.24596700,4587.21904183,4808.75745649,0.00320837,0.24297435,Li4MgWO6_SG12
1.00000000,9.00000000,5.00000000,4.00000000,0.65290922,14.65102300,5775.89906542,5759.04834390,0.00384240,0.23829167,Li4MgWO6_SG12
1.00000000,11.00000000,-5.00000000,4.00000000,0.62583548,15.28853500,1424.07106126,1470.95744148,0.00098141,0.05574486,Li4MgWO6_SG12
1.00000000,11.00000000,-4.00000000,4.00000000,0.67591754,14.14970400,4113.01920561,4098.43978721,0.00273445,0.18109989,Li4MgWO6_SG12
1.00000000,11.00000000,-3.00000000,4.00000000,0.72312778,13.22165600,6354.64112327,6660.17610445,0.00444363,0.33687283,Li4MgWO6_SG12
1.00000000,11.00000000,-2.00000000,4.00000000,0.76166195,12.54998300,4236.25308504,4219.84616268,0.00281546,0.23690990,Li4MgWO6_SG12
1.00000000,11.00000000,-1.00000000,4.00000000,0.78494446,12.17630500,1856.15842188,1877.18274270,0.00125245,0.11201167,Li4MgWO6_SG12
1.00000000,11.00000000,0.00000000,4.00000000,0.78807676,12.12772700,4460.08154234,4679.51053467,0.00312214,0.28167891,Li4MgWO6_SG12
1.00000000,11.00000000,1.00000000,4.00000000,0.77034228,12.40801000,7350.31739545,7387.60775003,0.00492897,0.42519502,Li4MgWO6_SG12
1.00000000,11.00000000,2.00000000,4.00000000,0.73561617,12.99621900,4600.53013193,4404.35105313,0.00293856,0.23129043,Li4MgWO6_SG12
1.00000000,11.00000000,3.00000000,4.00000000,0.69027920,13.85385200,1633.64044504,1606.69146161,0.00107197,0.07433765,Li4MgWO6_SG12
1.00000000,11.00000000,4.00000000,4.00000000,0.64054088,14.93552000,3058.27956424,3190.69158125,0.00212881,0.12720772,Li4MgWO6_SG12
1.00000000,13.00000000,-3.00000000,4.00000000,0.62821549,15.23027000,5216.26143571,5388.14413303,0.00359494,0.20630061,Li4MgWO6_SG12
1.00000000,13.00000000,-2.00000000,4.00000000,0.65298776,14.64925100,4372.89453106,4358.86592724,0.00290821,0.18035698,Li4MgWO6_SG12
1.00000000,13.00000000,-1.00000000,4.00000000,0.66748105,14.32947800,5353.04327580,5412.60331474,0.00361126,0.23411514,Li4MgWO6_SG12
1.00000000,13.00000000,0.00000000,4.00000000,0.66940389,14.28810200,5143.37593542,5104.39416927,0.00340562,0.22217981,Li4MgWO6_SG12
1.00000000,13.00000000,1.00000000,4.00000000,0.65843272,14.52745200,6127.02074181,5990.99792996,0.00399716,0.25243836,Li4MgWO6_SG12
1.00000000,13.00000000,2.00000000,4.00000000,0.63635171,15.03440800,4236.20333676,4484.21037628,0.00299184,0.17659200,Li4MgWO6_SG12
2.00000000,0.00000000,-8.00000000,2.00000000,0.63390952,15.09266600,3170.28141891,3305.00386244,0.00110254,0.06361043,Li4MgWO6_SG12
2.00000000,0.00000000,-7.00000000,2.00000000,0.72707200,13.14961400,6174.59855422,6200.61107899,0.00206851,0.15647965,Li4MgWO6_SG12
2.00000000,0.00000000,-6.00000000,2.00000000,0.85043776,11.23544800,12788.14191771,12976.11005605,0.00432879,0.44652355,Li4MgWO6_SG12
2.00000000,0.00000000,-5.00000000,2.00000000,1.01981730,9.36478920,7772.05241428,7955.75640933,0.00265402,0.39228080,Li4MgWO6_SG12
2.00000000,0.00000000,-4.00000000,2.00000000,1.26165220,7.56681080,8095.40693618,7756.22731875,0.00258745,0.58302133,Li4MgWO6_SG12
2.00000000,0.00000000,-3.00000000,2.00000000,1.61623280,5.90507200,15179.17458546,15196.55304049,0.00506952,1.86655660,Li4MgWO6_SG12
2.00000000,0.00000000,-2.00000000,2.00000000,2.10693080,4.52897250,44182.81424368,42102.87043923,0.01404539,8.76360940,Li4MgWO6_SG12
2.00000000,0.00000000,-1.00000000,2.00000000,2.53523690,3.76353890,14830.63049196,17446.83819879,0.00582021,5.29005080,Li4MgWO6_SG12
2.00000000,0.00000000,0.00000000,2.00000000,2.39894570,3.97744020,8091.29452228,8231.40250096,0.00274597,2.27038400,Li4MgWO6_SG12
2.00000000,0.00000000,1.00000000,2.00000000,1.89046600,5.04787350,14158.83655263,15560.03017802,0.00519078,2.68916020,Li4MgWO6_SG12
2.00000000,0.00000000,2.00000000,2.00000000,1.45291120,6.56955170,30799.79435197,29865.49428365,0.00996304,3.05497730,Li4MgWO6_SG12
2.00000000,0.00000000,3.00000000,2.00000000,1.15049270,8.29913300,10563.30711399,10802.62973449,0.00360372,0.69302684,Li4MgWO6_SG12
2.00000000,0.00000000,4.00000000,2.00000000,0.94275153,10.13224500,5607.85072982,5685.80197372,0.00189677,0.24496990,Li4MgWO6_SG12
2.00000000,0.00000000,5.00000000,2.00000000,0.79489258,12.02335200,5409.44383713,5891.97816205,0.00196555,0.18057154,Li4MgWO6_SG12
2.00000000,0.00000000,6.00000000,2.00000000,0.68550820,13.95075000,9993.90252791,9684.01873654,0.00323056,0.22095443,Li4MgWO6_SG12
2.00000000,2.00000000,-8.00000000,4.00000000,0.62741426,15.24983500,3145.18004428,3248.21470146,0.00216719,0.12254545,Li4MgWO6_SG12
2.00000000,2.00000000,-7.00000000,4.00000000,0.71731865,13.32921400,4998.85814669,4998.94432852,0.00333527,0.24573488,Li4MgWO6_SG12
2.00000000,2.00000000,-6.00000000,4.00000000,0.83494386,11.44463200,5061.74887251,5229.67125473,0.00348921,0.34720768,Li4MgWO6_SG12
2.00000000,2.00000000,-5.00000000,4.00000000,0.99341329,9.61427520,5156.76996385,5140.96241726,0.00343002,0.48163797,Li4MgWO6_SG12
2.00000000,2.00000000,-4.00000000,4.00000000,1.21265630,7.87301150,6393.40378933,6501.09675793,0.00433749,0.90462055,Li4MgWO6_SG12
2.00000000,2.00000000,-3.00000000,4.00000000,1.51687710,6.29223210,11845.21084911,11059.13668350,0.00737859,2.40078360,Li4MgWO6_SG12
2.00000000,2.00000000,-2.00000000,4.00000000,1.89982410,5.02299290,11253.62261728,12287.42098985,0.00819809,4.18157600,Li4MgWO6_SG12
2.00000000,2.00000000,-1.00000000,4.00000000,2.19594730,4.34529290,9989.44940209,9639.17750115,0.00643120,4.41027350,Li4MgWO6_SG12
2.00000000,2.00000000,0.00000000,4.00000000,2.10558810,4.53186190,8953.18372258,8526.52564050,0.00568885,3.62936810,Li4MgWO6_SG12
2.00000000,2.00000000,1.00000000,4.00000000,1.73656920,5.49555140,11846.66764941,11238.17310506,0.00749804,3.27715160,Li4MgWO6_SG12
2.00000000,2.00000000,2.00000000,4.00000000,1.37945890,6.91977670,10592.00267270,9923.17093723,0.00662068,1.82968350,Li4MgWO6_SG12
2.00000000,2.00000000,3.00000000,4.00000000,1.11297610,8.57939900,7104.03805980,6882.16930006,0.00459174,0.82637108,Li4MgWO6_SG12
2.00000000,2.00000000,4.00000000,4.00000000,0.92177493,10.36344500,4573.42117758,4762.89051164,0.00317777,0.39239174,Li4MgWO6_SG12
2.00000000,2.00000000,5.00000000,4.00000000,0.78219701,12.21923600,4690.74158230,4661.69410756,0.00311025,0.27672271,Li4MgWO6_SG12
2.00000000,2.00000000,6.00000000,4.00000000,0.67731550,14.12035000,4426.99111655,4318.17418665,0.00288106,0.19240379,Li4MgWO6_SG12
2.00000000,4.00000000,-7.00000000,4.00000000,0.69025696,13.85430100,5532.24009954,5440.56046562,0.00362991,0.24806871,Li4MgWO6_SG12
2.00000000,4.00000000,-6.00000000,4.00000000,0.79309524,12.05070100,4253.80467031,4470.52784634,0.00298271,0.26839188,Li4MgWO6_SG12
