parameter,value,esd
cell_a,5.1331099,0.00021302791
cell_b,8.7882063,0.00033183585
cell_c,5.1043067,0.0002039201
cell_alpha,90,0
cell_beta,110.82109,0.0033034521
cell_gamma,90,0
cell_volume,215.22238,0.015557292
