h,k,l,multiplicity,d_spacing,2theta,sigma_squared,gamma,F_obs_squared,F_calc_squared,phase,I_corr,Prfo,Trans,ExtP
2.00000000,4.00000000,0.00000000,4.00000000,1.61854424,5.89663132,3.94978265,4.41002143,16003.14969600,14632.44726814,0.00000000,0.02590978,1.00000000,1.00000000,1.00000000
0.00000000,4.00000000,2.00000000,4.00000000,1.61473829,5.91054205,3.96295568,4.41928163,11524.66644000,10961.88541208,0.00000000,0.02578822,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,-3.00000000,2.00000000,1.61353070,5.91496951,3.96715488,4.42222897,18021.06093559,17541.81968386,0.00000000,0.01287485,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,2.00000000,4.00000000,1.58500333,6.02152615,4.06916779,4.49316685,14904.41451853,15282.26290119,-180.00000000,0.02484835,1.00000000,1.00000000,1.00000000
0.00000000,0.00000000,3.00000000,2.00000000,1.58977785,6.00342535,4.05171018,4.48111610,9740.06625146,9927.27534840,0.00000000,0.01249904,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,-2.00000000,4.00000000,1.59145938,5.99707635,4.04559927,4.47688926,10522.05836412,10818.15535626,180.00000000,0.02505093,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,0.00000000,4.00000000,1.57214298,6.07082901,4.11698578,4.52599171,7103.11030726,8036.12564483,180.00000000,0.02444727,1.00000000,1.00000000,1.00000000
2.00000000,4.00000000,-2.00000000,4.00000000,1.51823175,6.28661225,4.33086862,4.66967468,10288.29786658,7740.63166793,0.00000000,0.02280148,1.00000000,1.00000000,1.00000000
1.00000000,5.00000000,1.00000000,4.00000000,1.50260610,6.35205362,4.39721377,4.71325612,11599.33680054,9514.84902969,180.00000000,0.02233520,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,-3.00000000,4.00000000,1.51442149,6.30244519,4.34685704,4.68021855,12688.07986831,9716.09786251,-0.00000000,0.02268734,1.00000000,1.00000000,1.00000000
0.00000000,2.00000000,3.00000000,4.00000000,1.49473074,6.38555562,4.43144513,4.73556829,7015.08769747,6203.80008514,0.00000000,0.02210202,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,-1.00000000,4.00000000,1.47508509,6.47069037,4.51924616,4.79227110,31945.74193107,28601.25305603,180.00000000,0.02152568,1.00000000,1.00000000,1.00000000
0.00000000,6.00000000,0.00000000,2.00000000,1.46290356,6.52462957,4.57547848,4.82819915,27171.71352088,28298.25085188,0.00000000,0.01058607,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,-3.00000000,4.00000000,1.46933652,6.49603313,4.54560798,4.80915126,35200.65463470,32985.67369585,180.00000000,0.02135848,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,2.00000000,2.00000000,1.45303095,6.56900957,4.62209651,4.85776149,28493.32833218,30801.31754940,0.00000000,0.01044388,1.00000000,1.00000000,1.00000000
1.00000000,5.00000000,-2.00000000,4.00000000,1.44039908,6.62668185,4.68315111,4.89618016,6240.76526179,6685.03349407,-180.00000000,0.02052672,1.00000000,1.00000000,1.00000000
2.00000000,4.00000000,1.00000000,4.00000000,1.43214329,6.66492531,4.72393288,4.92165751,12066.54007513,13302.39658081,0.00000000,0.02029246,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,-2.00000000,4.00000000,1.41610277,6.74050714,4.80522438,4.97201236,11243.05319923,12963.05788960,180.00000000,0.01984114,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,0.00000000,4.00000000,1.40244224,6.80624016,4.87667159,5.01580898,11975.28139271,12432.41296696,180.00000000,0.01946080,1.00000000,1.00000000,1.00000000
0.00000000,6.00000000,1.00000000,4.00000000,1.39858979,6.82501032,4.89720129,5.02831575,11157.52211208,11431.86038527,0.00000000,0.01935420,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,2.00000000,4.00000000,1.37939427,6.92010133,5.00207917,5.09167992,7972.17938982,7203.31053269,-0.00000000,0.01882744,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,-3.00000000,4.00000000,1.38430867,6.89550468,4.97481119,5.07528923,10013.94431089,9066.15343864,180.00000000,0.01896161,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,1.00000000,4.00000000,1.35911745,7.02347161,5.11774285,5.16056861,10185.64651841,8318.34144572,180.00000000,0.01827892,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,3.00000000,4.00000000,1.35461692,7.04683550,5.14412419,5.17614004,9526.25033159,7675.01324752,180.00000000,0.01815827,1.00000000,1.00000000,1.00000000
2.00000000,4.00000000,-3.00000000,4.00000000,1.29993299,7.34367108,5.48696808,5.37400948,8319.97086797,8135.00064917,-0.00000000,0.01672432,1.00000000,1.00000000,1.00000000
1.00000000,5.00000000,2.00000000,4.00000000,1.28487615,7.42984809,5.58916806,5.43146757,11494.34169993,13366.54096087,180.00000000,0.01633987,1.00000000,1.00000000,1.00000000
0.00000000,4.00000000,3.00000000,4.00000000,1.28741566,7.41517173,5.57167811,5.42168176,10327.21136393,11891.72281916,0.00000000,0.01640440,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,-1.00000000,2.00000000,1.27368573,7.49521852,5.66749354,5.47505689,9725.29346078,10479.50601461,0.00000000,0.00802852,1.00000000,1.00000000,1.00000000
2.00000000,6.00000000,-1.00000000,4.00000000,1.26652119,7.53767906,5.71873902,5.50337162,10401.52076224,9879.68495511,0.00000000,0.01587726,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,-2.00000000,2.00000000,1.26535198,7.54465406,5.72718500,5.50802303,7296.50816634,6900.91338214,0.00000000,0.00792401,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,-3.00000000,4.00000000,1.26422953,7.55136236,5.73531546,5.51249661,5034.89555172,4758.80394703,-180.00000000,0.01581997,1.00000000,1.00000000,1.00000000
2.00000000,6.00000000,0.00000000,4.00000000,1.24871284,7.64533528,5.84997590,5.57516848,4726.72740991,4082.64480089,0.00000000,0.01543479,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,-4.00000000,2.00000000,1.25991233,7.57727544,5.76679049,5.52977770,4441.21813267,4209.89347597,0.00000000,0.00785616,1.00000000,1.00000000,1.00000000
0.00000000,6.00000000,2.00000000,4.00000000,1.24696261,7.65608227,5.86317980,5.58233625,9439.07754133,8203.35656183,-0.00000000,0.01539164,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,1.00000000,4.00000000,1.24495476,7.66844835,5.87839608,5.59058401,5635.71868894,5016.09683086,180.00000000,0.01534222,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,-4.00000000,4.00000000,1.25377303,7.61443336,5.81211347,5.55455876,7678.98133937,6908.01153286,180.00000000,0.01555988,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,3.00000000,4.00000000,1.24149298,7.68986318,5.90480523,5.60486727,6597.39701170,6339.05802875,180.00000000,0.01525719,1.00000000,1.00000000,1.00000000
3.00000000,5.00000000,-1.00000000,4.00000000,1.22419939,7.79866044,6.04012247,5.67743869,9320.34336133,8395.47613711,180.00000000,0.01483597,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,-1.00000000,4.00000000,1.22321332,7.80495697,6.04801248,5.68163899,9540.11074837,8533.93959666,0.00000000,0.01481213,1.00000000,1.00000000,1.00000000
1.00000000,5.00000000,-3.00000000,4.00000000,1.22090743,7.81972083,6.06653785,5.69148781,9187.48784092,8216.93636644,180.00000000,0.01475646,1.00000000,1.00000000,1.00000000
1.00000000,7.00000000,0.00000000,4.00000000,1.21310657,7.87008434,6.12999847,5.72508617,8463.00514784,7901.96953711,-180.00000000,0.01456890,1.00000000,1.00000000,1.00000000
2.00000000,4.00000000,2.00000000,4.00000000,1.21150464,7.88050714,6.14318304,5.73203966,8058.52226626,7564.26726473,-0.00000000,0.01453053,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,-2.00000000,4.00000000,1.21582593,7.85245418,6.10773682,5.71332454,7773.56854585,7164.78222297,0.00000000,0.01463415,1.00000000,1.00000000,1.00000000
1.00000000,7.00000000,-1.00000000,4.00000000,1.20164274,7.94528598,6.22552118,5.77525842,11129.00823656,10287.77991797,180.00000000,0.01429544,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,-4.00000000,4.00000000,1.21099795,7.88380959,6.14736423,5.73424288,7752.59538299,7285.34159494,0.00000000,0.01451841,1.00000000,1.00000000,1.00000000
2.00000000,6.00000000,-2.00000000,4.00000000,1.20087818,7.95035259,6.23198984,5.77863888,22190.58906129,20602.61299839,0.00000000,0.01427730,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,0.00000000,2.00000000,1.19848840,7.96623112,6.25228929,5.78923324,22814.04565259,21660.69944138,0.00000000,0.00711033,1.00000000,1.00000000,1.00000000
0.00000000,0.00000000,4.00000000,2.00000000,1.19233339,8.00742097,6.30513772,5.81671662,18582.05721673,18873.41940594,0.00000000,0.00703765,1.00000000,1.00000000,1.00000000
3.00000000,5.00000000,-2.00000000,4.00000000,1.18985015,8.02415991,6.32669311,5.82788587,5760.65716580,6056.90483758,180.00000000,0.01401686,1.00000000,1.00000000,1.00000000
3.00000000,5.00000000,0.00000000,4.00000000,1.18171236,8.07950921,6.39829199,5.86482003,5668.18940184,6716.12283006,180.00000000,0.01382622,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,-3.00000000,2.00000000,1.17799090,8.10507626,6.43153279,5.88188161,6639.58018933,8368.33436888,0.00000000,0.00686973,1.00000000,1.00000000,1.00000000
2.00000000,6.00000000,1.00000000,4.00000000,1.15689785,8.25310518,6.62607539,5.98067645,8550.70458579,8713.64332276,0.00000000,0.01325297,1.00000000,1.00000000,1.00000000
1.00000000,3.00000000,-4.00000000,4.00000000,1.16248284,8.21338606,6.57352677,5.95416595,10694.19993149,11636.91090150,-180.00000000,0.01338093,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,0.00000000,4.00000000,1.15615338,8.25842877,6.63313800,5.98422978,7302.17372914,7392.76794185,0.00000000,0.01323595,1.00000000,1.00000000,1.00000000
1.00000000,7.00000000,1.00000000,4.00000000,1.15131455,8.29319844,6.67937866,6.00743808,5283.03312523,5257.99306829,-180.00000000,0.01312566,1.00000000,1.00000000,1.00000000
2.00000000,0.00000000,3.00000000,2.00000000,1.15062182,8.29820013,6.68604662,6.01077673,12322.31571471,12291.47763620,0.00000000,0.00655495,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,-4.00000000,4.00000000,1.16502270,8.19544946,6.54988044,5.94219462,5411.66315117,6145.98137995,180.00000000,0.01343932,1.00000000,1.00000000,1.00000000
0.00000000,2.00000000,4.00000000,4.00000000,1.15062489,8.29817792,6.68601700,6.01076190,6557.11051707,6540.61797664,-0.00000000,0.01310998,1.00000000,1.00000000,1.00000000
3.00000000,1.00000000,2.00000000,4.00000000,1.14253680,8.35702525,6.76477358,6.05004442,6321.78525683,6572.10062137,180.00000000,0.01292676,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,-3.00000000,4.00000000,1.13771955,8.39247321,6.81248565,6.07370857,5262.09725592,5834.61441679,-0.00000000,0.01281825,1.00000000,1.00000000,1.00000000
1.00000000,7.00000000,-2.00000000,4.00000000,1.12260405,8.50568175,6.96622820,6.14929123,6326.52823776,7016.91066490,-180.00000000,0.01248075,1.00000000,1.00000000,1.00000000
2.00000000,2.00000000,3.00000000,4.00000000,1.11300511,8.57917447,7.06714949,6.19836418,7976.16925814,8671.94550377,0.00000000,0.01226877,1.00000000,1.00000000,1.00000000
0.00000000,8.00000000,0.00000000,2.00000000,1.09717767,8.70317100,7.23941380,6.28117098,9243.13963380,8127.40354732,0.00000000,0.00596161,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,-1.00000000,4.00000000,1.10156875,8.66841191,7.19087194,6.25795689,8519.07392492,7755.99754612,0.00000000,0.01201859,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,-2.00000000,4.00000000,1.09616417,8.71123334,7.25070112,6.28655563,8562.99067332,7597.14155524,-0.00000000,0.01190126,1.00000000,1.00000000,1.00000000
3.00000000,5.00000000,-3.00000000,4.00000000,1.09543420,8.71704953,7.25885038,6.29044016,6706.58537173,6012.97601209,180.00000000,0.01188545,1.00000000,1.00000000,1.00000000
2.00000000,4.00000000,-4.00000000,4.00000000,1.09262206,8.73952861,7.29039832,6.30545384,7189.74432975,6875.83930275,0.00000000,0.01182467,1.00000000,1.00000000,1.00000000
3.00000000,5.00000000,1.00000000,4.00000000,1.08282343,8.81876965,7.40226373,6.35838235,4953.67768163,5428.82760952,-180.00000000,0.01161410,1.00000000,1.00000000,1.00000000
1.00000000,5.00000000,3.00000000,4.00000000,1.08054334,8.83741541,7.42873465,6.37083751,5257.12839411,5824.11077610,180.00000000,0.01156538,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,-4.00000000,4.00000000,1.09069561,8.75499494,7.31215205,6.31578401,6518.61028142,6566.98621984,180.00000000,0.01178312,1.00000000,1.00000000,1.00000000
2.00000000,6.00000000,-3.00000000,4.00000000,1.08377807,8.81098642,7.39123080,6.35318333,9025.12920592,9858.49657315,0.00000000,0.01163454,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,1.00000000,2.00000000,1.07588981,8.87571619,7.48328685,6.39642302,8907.38729131,10120.19052518,0.00000000,0.00573312,1.00000000,1.00000000,1.00000000
0.00000000,6.00000000,3.00000000,4.00000000,1.07649219,8.87073959,7.47618514,6.39309850,6960.05652796,7886.81830179,0.00000000,0.01147906,1.00000000,1.00000000,1.00000000
3.00000000,3.00000000,2.00000000,4.00000000,1.07217888,8.90649795,7.52730274,6.41698672,5876.31777473,6756.23127708,180.00000000,0.01138751,1.00000000,1.00000000,1.00000000
0.00000000,8.00000000,1.00000000,4.00000000,1.06924887,8.93095341,7.56238242,6.43332479,8411.89079228,9778.12097137,0.00000000,0.01132553,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,4.00000000,4.00000000,1.06380720,8.97673122,7.62830933,6.46390929,5753.04046247,6736.15717308,-180.00000000,0.01121087,1.00000000,1.00000000,1.00000000
4.00000000,4.00000000,0.00000000,4.00000000,1.05183168,9.07914800,7.77704118,6.53234196,5768.35321511,5861.67150115,-0.00000000,0.01096059,1.00000000,1.00000000,1.00000000
0.00000000,4.00000000,4.00000000,4.00000000,1.04766362,9.11534507,7.83001618,6.55653047,6796.23309838,6899.46635672,0.00000000,0.01087415,1.00000000,1.00000000,1.00000000
1.00000000,7.00000000,2.00000000,4.00000000,1.04413856,9.14618431,7.87531842,6.57713964,5257.72352882,5531.46882345,180.00000000,0.01080131,1.00000000,1.00000000,1.00000000
4.00000000,2.00000000,1.00000000,4.00000000,1.04494815,9.13908307,7.86487310,6.57239396,5501.06031585,5727.96017385,0.00000000,0.01081802,1.00000000,1.00000000,1.00000000
4.00000000,0.00000000,-4.00000000,2.00000000,1.05138956,9.08297389,7.78263034,6.53489853,17058.84230574,17284.89294061,0.00000000,0.00547570,1.00000000,1.00000000,1.00000000
