parameter,value,esd
cell_a,4.18003115,0.00114106
cell_b,4.18003115,0.00114106
cell_c,4.18003115,0.00114106
cell_alpha,90.00000000,0.00000000
cell_beta,90.00000000,0.00000000
cell_gamma,90.00000000,0.00000000
cell_volume,73.03626501,0.05981204
