parameter,value,esd
cell_a,5.12515959,0.00360473
cell_b,8.77742134,0.00076976
cell_c,5.09883857,0.00350650
cell_alpha,90.00000000,0.00000000
cell_beta,110.71095098,0.00940691
cell_gamma,90.00000000,0.00000000
cell_volume,214.55173728,0.02445405
