h,k,l,multiplicity,d_spacing,2theta,F_obs_squared,F_calc_squared,I_no_scale_pks,I_after_scale_pks,phase
0.00000000,8.00000000,6.00000000,4.00000000,0.64413301,14.85175800,3392.43338896,3470.21302169,0.00233790,0.14066642,Li4MgWO6_SG12
0.00000000,10.00000000,0.00000000,2.00000000,0.87878826,10.87187300,4867.75191824,4865.57322290,0.00163898,0.18371035,Li4MgWO6_SG12
0.00000000,10.00000000,1.00000000,4.00000000,0.86425063,11.05531400,5357.30829929,5423.79620987,0.00365404,0.39610112,Li4MgWO6_SG12
0.00000000,10.00000000,2.00000000,4.00000000,0.82461711,11.58844200,6380.71482094,6344.36320458,0.00427424,0.42173576,Li4MgWO6_SG12
0.00000000,10.00000000,3.00000000,4.00000000,0.76917425,12.42692600,5088.49668229,5007.52218377,0.00337360,0.28959481,Li4MgWO6_SG12
0.00000000,10.00000000,4.00000000,4.00000000,0.70750443,13.51496800,3628.93317406,3670.25966200,0.00247268,0.17962581,Li4MgWO6_SG12
0.00000000,10.00000000,5.00000000,4.00000000,0.64642512,14.79880100,3406.28540479,3368.09233183,0.00226910,0.13768937,Li4MgWO6_SG12
0.00000000,12.00000000,0.00000000,2.00000000,0.73232355,13.05490600,10604.98747740,10159.44857893,0.00342224,0.26691500,Li4MgWO6_SG12
0.00000000,12.00000000,1.00000000,4.00000000,0.72384660,13.20846800,5670.51065336,5806.84981083,0.00391211,0.29809472,Li4MgWO6_SG12
0.00000000,12.00000000,2.00000000,4.00000000,0.70007958,13.65898300,3922.28826975,4032.53562806,0.00271674,0.19363960,Li4MgWO6_SG12
0.00000000,12.00000000,3.00000000,4.00000000,0.66519038,14.37908400,4162.95985755,4314.89810440,0.00290697,0.18708430,Li4MgWO6_SG12
0.00000000,12.00000000,4.00000000,4.00000000,0.62408620,15.33164500,7453.67473239,7574.01655494,0.00510266,0.28916666,Li4MgWO6_SG12
0.00000000,14.00000000,0.00000000,2.00000000,0.62770590,15.24270800,4751.09701501,4819.48322856,0.00162346,0.09324753,Li4MgWO6_SG12
0.00000000,14.00000000,1.00000000,4.00000000,0.62234302,15.37484900,3773.39191224,3829.83181935,0.00258018,0.14568240,Li4MgWO6_SG12
1.00000000,1.00000000,-7.00000000,4.00000000,0.70860873,13.49380800,3778.72432934,3836.71758439,0.00258482,0.18666964,Li4MgWO6_SG12
1.00000000,1.00000000,-6.00000000,4.00000000,0.83002357,11.51270300,4935.60466968,5070.73691974,0.00341619,0.33759910,Li4MgWO6_SG12
1.00000000,1.00000000,-5.00000000,4.00000000,1.00032930,9.54764990,7207.70490200,7146.46379130,0.00481462,0.68926278,Li4MgWO6_SG12
1.00000000,1.00000000,-4.00000000,4.00000000,1.25487730,7.60772310,8642.03647498,8712.30986346,0.00586954,1.31863630,Li4MgWO6_SG12
1.00000000,1.00000000,-3.00000000,4.00000000,1.66994930,5.71496570,10073.85850430,9638.08990140,0.00649324,2.57471250,Li4MgWO6_SG12
1.00000000,1.00000000,-2.00000000,4.00000000,2.42538680,3.93406170,11009.25448827,11853.59795809,0.00798584,6.65002270,Li4MgWO6_SG12
1.00000000,1.00000000,-1.00000000,4.00000000,3.79968180,2.51087100,19318.32939276,16124.82451027,0.01086339,22.14789400,Li4MgWO6_SG12
1.00000000,1.00000000,0.00000000,4.00000000,4.21113430,2.26551050,18189.89862859,16632.50256504,0.01120542,28.57847600,Li4MgWO6_SG12
1.00000000,1.00000000,1.00000000,4.00000000,2.75895330,3.45826650,14371.44004022,13319.12418042,0.00897317,9.90575730,Li4MgWO6_SG12
1.00000000,1.00000000,2.00000000,4.00000000,1.84359600,5.17629270,10824.80049411,10847.32248423,0.00730791,3.59847920,Li4MgWO6_SG12
1.00000000,1.00000000,3.00000000,4.00000000,1.35467190,7.04654920,9751.44206256,9026.73136303,0.00608136,1.61525660,Li4MgWO6_SG12
1.00000000,1.00000000,4.00000000,4.00000000,1.06390310,8.97592090,7208.00663756,7049.85069237,0.00474953,0.77797250,Li4MgWO6_SG12
1.00000000,1.00000000,5.00000000,4.00000000,0.87373868,10.93489500,5646.80005045,5590.15886904,0.00376612,0.41630053,Li4MgWO6_SG12
1.00000000,1.00000000,6.00000000,4.00000000,0.74040111,12.91187100,4823.39030826,4620.72488414,0.00311301,0.24737111,Li4MgWO6_SG12
1.00000000,1.00000000,7.00000000,4.00000000,0.64198833,14.90165400,3721.70636016,3788.14781038,0.00255210,0.15271488,Li4MgWO6_SG12
1.00000000,3.00000000,-7.00000000,4.00000000,0.69086849,13.84197800,8639.80035653,8780.26757630,0.00591532,0.40644882,Li4MgWO6_SG12
1.00000000,3.00000000,-6.00000000,4.00000000,0.80190169,11.91787900,4326.07862930,4390.70578628,0.00295804,0.27317402,Li4MgWO6_SG12
1.00000000,3.00000000,-5.00000000,4.00000000,0.95219416,10.03150800,6012.60172068,6198.30944921,0.00417584,0.54254114,Li4MgWO6_SG12
1.00000000,3.00000000,-4.00000000,4.00000000,1.16355740,8.20578790,12489.13761850,13317.08614410,0.00897180,1.73713890,Li4MgWO6_SG12
1.00000000,3.00000000,-3.00000000,4.00000000,1.47094310,6.48893060,30955.55535051,29521.54539672,0.01988884,6.14459490,Li4MgWO6_SG12
1.00000000,3.00000000,-2.00000000,4.00000000,1.91184470,4.99139120,11889.59349084,13113.17907358,0.00883443,4.60918760,Li4MgWO6_SG12
1.00000000,3.00000000,-1.00000000,4.00000000,2.40524650,3.96701670,7672.73406017,8033.38739786,0.00541214,4.48459740,Li4MgWO6_SG12
1.00000000,3.00000000,0.00000000,4.00000000,2.50014970,3.81637590,14680.00121039,17864.74699326,0.01203559,10.85755300,Li4MgWO6_SG12
1.00000000,3.00000000,1.00000000,4.00000000,2.06299420,4.62548000,46166.22437830,42436.71276299,0.02858986,17.62748200,Li4MgWO6_SG12
1.00000000,3.00000000,2.00000000,4.00000000,1.58548830,6.01968270,15784.63758644,16742.26896129,0.01127937,4.10747220,Li4MgWO6_SG12
1.00000000,3.00000000,3.00000000,4.00000000,1.24177180,7.68813410,7909.93780137,7811.63882984,0.00526275,1.17500100,Li4MgWO6_SG12
1.00000000,3.00000000,4.00000000,4.00000000,1.00652880,9.48870800,6479.00959066,6549.51097204,0.00441244,0.64724307,Li4MgWO6_SG12
1.00000000,3.00000000,5.00000000,4.00000000,0.84111249,11.36042100,11952.60720290,12451.31041999,0.00838852,0.85976217,Li4MgWO6_SG12
1.00000000,3.00000000,6.00000000,4.00000000,0.72023322,13.27503200,7401.74467320,7589.19292597,0.00511288,0.38466072,Li4MgWO6_SG12
1.00000000,3.00000000,7.00000000,4.00000000,0.62870731,15.21828600,3661.73558623,3714.68405841,0.00250260,0.14369537,Li4MgWO6_SG12
1.00000000,5.00000000,-7.00000000,4.00000000,0.65905056,14.51375900,3778.51175666,3686.02659857,0.00248330,0.15554277,Li4MgWO6_SG12
1.00000000,5.00000000,-6.00000000,4.00000000,0.75329066,12.69002100,4143.05425514,3927.78259226,0.00264617,0.21609150,Li4MgWO6_SG12
1.00000000,5.00000000,-5.00000000,4.00000000,0.87366593,10.93580900,5405.98882478,5350.42333604,0.00360461,0.39530511,Li4MgWO6_SG12
1.00000000,5.00000000,-4.00000000,4.00000000,1.02824990,9.28782080,7945.61248888,7786.62903297,0.00524590,0.79602515,Li4MgWO6_SG12
1.00000000,5.00000000,-3.00000000,4.00000000,1.22227960,7.81092890,9059.87190615,8846.50329545,0.00595994,1.27758490,Li4MgWO6_SG12
