parameter,value,esd
cell_a,4.1825151,0.0003962409
cell_b,4.1825151,0.0003962409
cell_c,4.1825151,0.0003962409
cell_alpha,90,0
cell_beta,90,0
cell_gamma,90,0
cell_volume,73.166546,0.02079692
