parameter,value,esd
cell_a,5.1331016,0.00023917791
cell_b,8.7878826,0.00038081096
cell_c,5.1045074,0.00022483466
cell_alpha,90,0
cell_beta,110.82115,0.0037826545
cell_gamma,90,0
cell_volume,215.22249,0.017510723
